state,state_abbreviation,county,fips,party,candidate,votes,fraction_votes,division,region,country
Alabama,AL,Autauga,1001,Democrat,Bernie Sanders,544,0.182,SE Central,South,USA
Alabama,AL,Autauga,1001,Democrat,Hillary Clinton,2387,0.8,SE Central,South,USA
Alabama,AL,Baldwin,1003,Democrat,Bernie Sanders,2694,0.32899999999999996,SE Central,South,USA
Alabama,AL,Baldwin,1003,Democrat,Hillary Clinton,5290,0.647,SE Central,South,USA
Alabama,AL,Barbour,1005,Democrat,Bernie Sanders,222,0.078,SE Central,South,USA
Alabama,AL,Barbour,1005,Democrat,Hillary Clinton,2567,0.9059999999999999,SE Central,South,USA
Alabama,AL,Bibb,1007,Democrat,Bernie Sanders,246,0.19699999999999998,SE Central,South,USA
Alabama,AL,Bibb,1007,Democrat,Hillary Clinton,942,0.755,SE Central,South,USA
Alabama,AL,Blount,1009,Democrat,Bernie Sanders,395,0.386,SE Central,South,USA
Alabama,AL,Blount,1009,Democrat,Hillary Clinton,564,0.551,SE Central,South,USA
Alabama,AL,Bullock,1011,Democrat,Bernie Sanders,178,0.066,SE Central,South,USA
Alabama,AL,Bullock,1011,Democrat,Hillary Clinton,2451,0.9129999999999999,SE Central,South,USA
Alabama,AL,Butler,1013,Democrat,Bernie Sanders,156,0.065,SE Central,South,USA
Alabama,AL,Butler,1013,Democrat,Hillary Clinton,2196,0.9209999999999999,SE Central,South,USA
Alabama,AL,Calhoun,1015,Democrat,Bernie Sanders,1425,0.218,SE Central,South,USA
Alabama,AL,Calhoun,1015,Democrat,Hillary Clinton,5011,0.765,SE Central,South,USA
Alabama,AL,Chambers,1017,Democrat,Bernie Sanders,312,0.095,SE Central,South,USA
Alabama,AL,Chambers,1017,Democrat,Hillary Clinton,2899,0.8859999999999999,SE Central,South,USA
Alabama,AL,Cherokee,1019,Democrat,Bernie Sanders,268,0.249,SE Central,South,USA
Alabama,AL,Cherokee,1019,Democrat,Hillary Clinton,712,0.6609999999999999,SE Central,South,USA
Alabama,AL,Chilton,1021,Democrat,Bernie Sanders,289,0.24600000000000002,SE Central,South,USA
Alabama,AL,Chilton,1021,Democrat,Hillary Clinton,860,0.731,SE Central,South,USA
Alabama,AL,Choctaw,1023,Democrat,Bernie Sanders,273,0.124,SE Central,South,USA
Alabama,AL,Choctaw,1023,Democrat,Hillary Clinton,1772,0.802,SE Central,South,USA
Alabama,AL,Clarke,1025,Democrat,Bernie Sanders,213,0.063,SE Central,South,USA
Alabama,AL,Clarke,1025,Democrat,Hillary Clinton,3148,0.93,SE Central,South,USA
Alabama,AL,Clay,1027,Democrat,Bernie Sanders,135,0.13699999999999998,SE Central,South,USA
Alabama,AL,Clay,1027,Democrat,Hillary Clinton,807,0.818,SE Central,South,USA
Alabama,AL,Cleburne,1029,Democrat,Bernie Sanders,72,0.23800000000000002,SE Central,South,USA
Alabama,AL,Cleburne,1029,Democrat,Hillary Clinton,221,0.732,SE Central,South,USA
Alabama,AL,Coffee,1031,Democrat,Bernie Sanders,389,0.201,SE Central,South,USA
